Latitud,Longitud,Descripcion estrato personal ocupado
18.8771691,-97.72655195,0 a 5 personas
19.04811901,-98.04555487,0 a 5 personas
20.10407518,-97.62450302,0 a 5 personas
18.99485402,-97.44735609,0 a 5 personas
19.93843528,-97.96279535,0 a 5 personas
18.54124826,-97.20015423,0 a 5 personas
19.06280819,-98.30841023,0 a 5 personas
18.98402252,-97.78297572,0 a 5 personas
19.0408686,-98.14718358,0 a 5 personas
19.28480969,-98.44101093,0 a 5 personas
20.02100018,-97.52789222,0 a 5 personas
20.02087948,-97.52770149,0 a 5 personas
19.29011536,-97.34120049,0 a 5 personas
18.0405755,-98.44006136,0 a 5 personas
19.09420847,-98.13616661,0 a 5 personas
20.4639667,-97.70692481,0 a 5 personas
19.81974781,-97.8084188,0 a 5 personas
18.21481408,-98.0439583,0 a 5 personas
20.28131426,-97.95748865,0 a 5 personas
19.87608431,-97.58800044,0 a 5 personas
18.37709041,-97.26434398,0 a 5 personas
19.04067656,-98.21478707,0 a 5 personas
18.8914771,-98.43768541,0 a 5 personas
19.02983497,-98.20580005,0 a 5 personas
19.2196762,-98.41187281,11 a 30 personas
19.12198549,-98.24349825,0 a 5 personas
19.31609212,-98.20330397,11 a 30 personas
19.41038388,-98.16441521,11 a 30 personas
19.07905114,-98.15595296,251 y mas personas
19.06447518,-98.31470327,31 a 50 personas
19.0529171,-98.22688901,51 a 100 personas
18.81357433,-97.87717293,51 a 100 personas
19.26181533,-98.50543246,31 a 50 personas
19.10981831,-98.22903214,51 a 100 personas
19.06508856,-98.31618504,51 a 100 personas
19.12513292,-98.22614097,51 a 100 personas
19.28497984,-98.42302079,31 a 50 personas
18.41665001,-97.33243346,101 a 250 personas
18.44983087,-97.39906989,51 a 100 personas
19.27391186,-98.4310408,101 a 250 personas
19.1090754,-98.35270755,101 a 250 personas
19.85790486,-97.3608513,251 y mas personas
19.09102594,-98.19319983,251 y mas personas
19.05664146,-98.15516569,101 a 250 personas
18.5481988,-97.43939579,51 a 100 personas
19.00890991,-98.2654421,51 a 100 personas
19.0538605,-98.30830305,51 a 100 personas
18.47634593,-97.4377006,51 a 100 personas
19.81131109,-97.37668109,31 a 50 personas
19.04151798,-98.17460254,101 a 250 personas
19.09765044,-98.20316022,251 y mas personas
19.07973943,-98.15195339,251 y mas personas
19.08003106,-98.14756117,251 y mas personas
19.08472478,-98.22240345,251 y mas personas
19.09420367,-98.20831851,31 a 50 personas
19.21664171,-98.41318694,251 y mas personas
19.08173512,-98.16228718,101 a 250 personas
19.08221635,-98.16168317,101 a 250 personas
18.4711068,-97.42773943,51 a 100 personas
19.11707632,-98.25468603,31 a 50 personas
19.01548247,-98.21075221,31 a 50 personas
19.05922074,-98.15922926,251 y mas personas
19.21541781,-98.41354076,251 y mas personas
19.21682133,-98.41356329,31 a 50 personas
19.84722833,-97.35523343,51 a 100 personas
19.84716851,-97.48471075,31 a 50 personas
19.05832913,-98.31059827,31 a 50 personas
19.02114975,-98.20154159,31 a 50 personas
19.04771918,-98.20122389,31 a 50 personas
19.06216201,-98.2305303,31 a 50 personas
19.06590385,-98.15655743,251 y mas personas
19.05818309,-98.24694991,31 a 50 personas
19.04694735,-98.17604492,31 a 50 personas
19.07851657,-98.16962588,31 a 50 personas
19.03543677,-98.2764573,51 a 100 personas
18.51022921,-97.43560389,101 a 250 personas
