Latitud,Longitud,
18.79649,-98.88064,TEXTO_PK
18.79084,-98.88625,TEXTO_PK
18.78332,-98.88767,TEXTO_PK
18.7765,-98.89163,TEXTO_PK
18.76873,-98.88959,TEXTO_PK
18.76934,-98.88177,TEXTO_PK
18.76196,-98.87553,TEXTO_PK
18.76297,-98.86803,TEXTO_PK
18.76249,-98.85858,TEXTO_PK
18.7628,-98.84975,TEXTO_PK
18.76249,-98.84048,TEXTO_PK
18.75879,-98.83619,TEXTO_PK
18.75139,-98.83564,TEXTO_PK
18.7476,-98.82719,TEXTO_PK
18.7477,-98.81764,TEXTO_PK
18.74269,-98.81155,TEXTO_PK
18.74131,-98.80284,TEXTO_PK
18.73931,-98.79449,TEXTO_PK
18.73763,-98.78548,TEXTO_PK
18.72992,-98.78449,TEXTO_PK
18.72717,-98.77708,TEXTO_PK
18.72369,-98.76901,TEXTO_PK
18.7193,-98.76204,TEXTO_PK
18.71992,-98.7551,TEXTO_PK
18.72806,-98.75294,TEXTO_PK
18.73631,-98.75027,TEXTO_PK
18.74441,-98.74755,TEXTO_PK
18.75148,-98.74202,TEXTO_PK
18.75914,-98.73751,TEXTO_PK
18.76502,-98.73067,TEXTO_PK
18.77058,-98.72279,TEXTO_PK
18.77619,-98.71544,TEXTO_PK
18.78154,-98.71039,TEXTO_PK
18.78574,-98.70387,TEXTO_PK
18.79496,-98.70241,TEXTO_PK
18.80427,-98.70111,TEXTO_PK
18.8117,-98.69857,TEXTO_PK
18.81843,-98.6926,TEXTO_PK
18.81419,-98.67518,TEXTO_PK
18.81538,-98.66632,TEXTO_PK
18.81811,-98.65932,TEXTO_PK
18.81851,-98.6511,TEXTO_PK
18.81847,-98.64006,TEXTO_PK
18.81859,-98.63197,TEXTO_PK
18.81868,-98.6224,TEXTO_PK
18.81893,-98.61173,TEXTO_PK
18.81663,-98.60272,TEXTO_PK
18.81401,-98.59557,TEXTO_PK
18.81071,-98.58596,TEXTO_PK
18.80974,-98.57746,TEXTO_PK
18.81627,-98.57368,TEXTO_PK
18.81856,-98.56599,TEXTO_PK
18.82074,-98.55858,TEXTO_PK
18.81379,-98.55376,TEXTO_PK
18.81366,-98.54427,TEXTO_PK
18.81448,-98.53589,TEXTO_PK
18.81655,-98.52644,TEXTO_PK
18.81766,-98.51644,TEXTO_PK
18.81887,-98.50772,TEXTO_PK
18.81799,-98.49824,TEXTO_PK
18.81729,-98.48959,TEXTO_PK
18.82178,-98.48256,TEXTO_PK
18.82878,-98.47623,TEXTO_PK
18.8342,-98.46863,TEXTO_PK
18.83977,-98.4611,TEXTO_PK
18.84402,-98.45368,TEXTO_PK
18.84576,-98.44407,TEXTO_PK
18.84572,-98.43534,TEXTO_PK
18.84885,-98.42652,TEXTO_PK
18.85267,-98.41821,TEXTO_PK
18.85402,-98.41005,TEXTO_PK
18.86061,-98.40513,TEXTO_PK
18.8665,-98.39839,TEXTO_PK
18.869,-98.38937,TEXTO_PK
18.86904,-98.3805,TEXTO_PK
18.87373,-98.37248,TEXTO_PK
18.8798,-98.36925,TEXTO_PK
18.89501,-98.37482,TEXTO_PK
18.90092,-98.36835,TEXTO_PK
18.90859,-98.36408,TEXTO_PK
18.91802,-98.36305,TEXTO_PK
18.92624,-98.36005,TEXTO_PK
18.93307,-98.36327,TEXTO_PK
18.93794,-98.36903,TEXTO_PK
18.94724,-98.36977,TEXTO_PK
18.95639,-98.36864,TEXTO_PK
18.96461,-98.36855,TEXTO_PK
18.96943,-98.37264,TEXTO_PK
18.97471,-98.37936,TEXTO_PK
18.98238,-98.38153,TEXTO_PK
