"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6236967","21114311811000047000002859S9","1062 PLANTA PUEBLA","BIMBO SA DE CV","311811","Panificación industrial","251 y más personas","CALLE","RESURRECCIÓN SUR","CALLE","RESURRECCIÓN PONIENTE","CALLE","ANTIGUO CAMINO A LA RESURRECCIÓN","CALLE","LA NOPALERA","292",,,,,,"CORREDOR INDUSTRIAL","RESURRECCION","CORREDOR INDUSTRIAL","CORREDOR INDUSTRIAL LA CIENEGA","SN","72220","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1641","033",,,"WWW.BIMBO.COM.MX","Fijo","19.07905114","-98.15595296","2010-07"
"6379587","21140315229000224002000000U0","A&R PUEBLA SPORTWEAR","A & R PUEBLA SPORTWEAR SA DE CV","315229","Confección en serie de otra ropa exterior de materiales textiles","31 a 50 personas","AVENIDA","CHOLULA HUEJOTZINGO","PROLONGACION","20 DE NOVIEMBRE","CALLE","6 SUR","CALLE","CAMINO REAL EXHACIENDA SAN BARTOLO","727",,,,"0",,"COLONIA","SAN SEBASTIAN TEPALCATEPEC",,,,"72750","21","PUEBLA","140","San Pedro Cholula","0001","Cholula de Rivadavia","0056","020",,"SPORTWEARPUEBLA@YAHOO.COM",,"Fijo","19.06447518","-98.31470327","2014-12"
"8723391","21114311992000015000039374S4","AB CALSA","AB CALSA SA DE CV","311992","Elaboración de levadura","51 a 100 personas","AVENIDA","TEZIUTLÁN SUR","AVENIDA","REFORMA SUR","CALLE","TECAMACHALCO","OTRO (ESPECIFIQUE)","NINGUNO","40",,,,"0",,"COLONIA","LA PAZ",,,,"72160","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","0361","026",,"OMAR.ESTRADA@ABMAURI.COM.MX",,"Fijo","19.0529171","-98.22688901","2019-11"
"6272172","21171311513000022000025816S4","ABASTECEDORA IÑAKI","ABASTECEDORA IÑAKI SA DE CV","311513","Elaboración de derivados y fermentos lácteos","51 a 100 personas","AVENIDA","CUAUHTÉMOC ORIENTE","AVENIDA","6 NORTE","CALLE","4 NORTE","AVENIDA","JUÁREZ ORIENTE","5",,,,"0",,"COLONIA","CENTRO",,,,"75630","21","PUEBLA","171","Tepeyahualco de Cuauhtémoc","0001","Tepeyahualco de Cuauhtémoc","0067","015",,"ADMINTAMEMES@CHAMACO.MX","WWW.ELABUELO.COM.MX","Fijo","18.81357433","-97.87717293","2010-07"
"7535957","21143315192000014000000000U9","ACABADOS ANALCO","PLAYERAS ILALUS S DE RL ","315192","Fabricación de ropa exterior de tejido de punto","31 a 50 personas","CALLE","CAMINO REAL IZTACCIHUATL","PRIVADA","NINGUNO","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","64",,,,"0",,"LOCALIDAD","SANTA CRUZ ANALCO",,,,"74137","21","PUEBLA","143","San Salvador el Verde","0008","Analco de Ponciano Arriaga (Santa Cruz Analco)","0170","015",,,,"Fijo","19.26181533","-98.50543246","2019-11"
"6378673","21114313310000165000000000U0","ACABADOS RÍO TEJO","ACABADOS RÍO TEJO SA DE CV","313310","Acabado de productos textiles","51 a 100 personas","AVENIDA","PUEBLA-TLAXCALA","CALLE","EMILIANO ZAPATA","CALLE","NINGUNO","CALLE","EMILIANO ZAPATA","5003",,,,"0","SN","COLONIA","SAN JERÓNIMO CALERAS",,,,"72100","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","3101","002",,"ACA.RIOTEJO@OUTLOOK.COM",,"Fijo","19.10981831","-98.22903214","2010-07"
"6378340","21140313310000015001000000U2","ACABADOS TEXTILES BORIN","ACABADOS TEXTILES BORIN SA DE CV","313310","Acabado de productos textiles","51 a 100 personas","AVENIDA","3 PONIENTE","CALLE","13 SUR","PRIVADA","3 PONIENTE","AVENIDA","5 PONIENTE","1113",,,,"0",,"COLONIA","CENTRO",,,,"72760","21","PUEBLA","140","San Pedro Cholula","0001","Cholula de Rivadavia","0056","033",,"atbsacv@prodigy.net.mx",,"Fijo","19.06508856","-98.31618504","2010-07"
"6378672","21114313320000035000000000U4","ACAFINTEX","ACABADOS FINOS TEXTILES SA DE CV","313310","Acabado de productos textiles","51 a 100 personas","CALLE","PRIMERA DE CUAUHTEMOC","PRIVADA","SEGUNDA PRIVADA CUAUHTÉMOC","PRIVADA","NINGUNO","CALLE","AQUILES SERDÁN","148",,,,"1",,"COLONIA","AGRICOLA IGNACIO ZARAGOZA",,,,"72100","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","3116","021",,"CONTABILIDAD@ACAFINTEX.COM","WWW.ACAFINTEX.COM","Fijo","19.12513292","-98.22614097","2010-07"
"6377366","21132313310000045001000000U6","ACATEX","ACABADOS TEXMELUCAN SA DE CV","313310","Acabado de productos textiles","31 a 50 personas","CARRETERA","CARRETERA A TLAXCALA","PRIVADA","NINGUNO","AVENIDA","NINGUNO","CALLE","RIVERA DEL RÍO","0","KILOMETRO 2",,,"0",,"COLONIA","SAN DAMIAN",,,,"74059","21","PUEBLA","132","San Martín Texmelucan","0001","San Martín Texmelucan de Labastida","0355","010",,"CONTABILIDAD@ACATEX.COM.MX",,"Fijo","19.28497984","-98.42302079","2010-07"
"6379045","21156311222000016000000000U5","ACEITES Y PROTEÍNAS EL CALVARIO","ACEITES Y PROTEINAS EL CALVARIO S DE RL DE CV","311222","Elaboración de aceites y grasas vegetales comestibles","101 a 250 personas","CALLE","TEHUACAN TEOTITLAN KM 8.5","CALLE","SIN REFERENCIA","CALLE","2 ORIENTE","CARRETERA","SIN REFERENCIA","0","SN",,,"0",,"PUEBLO","SAN PABLO TEPETZINGO",,,,"75859","21","PUEBLA","156","Tehuacán","0018","San Pablo Tepetzingo","015A","018",,"RECURSOS@ACEITEIMPERIAL.COM.MX",,"Fijo","18.41665001","-97.33243346","2010-07"
