"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6187987","21164212312000083001000000U8","CAPROMASA","CENTRO DXE ACOPIO Y PROCESADORA DE MARMOL DE SANTIAGO ACATLAN SA DE CV","212312","Minería de mármol","51 a 100 personas","CARRETERA","TEHUACAN PUEBLA","CARRETERA","PUEBLA TEHUAN KNM. 30","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO",,"KM. 30",,,,,"COLONIA","SANTIAGO ACATLAN",,,,"75200","21","PUEBLA","164","Tepeaca","0078","Santiago Acatlán","0397","800",,"CENTRAL_ACOPIO@HOTMAIL.COM",,"Fijo","18.98975847","-97.94673064","2010-07"
"6187914","21106212321000011001000000U1","EXTRACCIONES BALSATICAS","EXTRACCIONES BASALTICAS SA DE CV","212321","Minería de arena y grava para la construcción","51 a 100 personas","CARRETERA","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","0","KM 16 500",,,"0",,"COLONIA","SAN BERNARDO CHALCHIHUAPAN",,,,"72850","21","PUEBLA","106","Ocoyucan","0030","San Bernardino Chalchihuapan","004A","800",,,"WWW.EBSA.MX","Fijo","18.97935699","-98.33744091","2010-07"
"6187864","21198212391000014001000000U5","FINCA SALINERA DE ATIOPAN","FINCA SALINERA DE ATIOPAN ","212391","Minería de sal","51 a 100 personas","AVENIDA","EMILIANO ZAPATA","CALLE","TEPEYAC","CARRETERA","ACAXTLAHUANCAN","CALLE","NINGUNO","3",,,,"0",,"PUEBLO","XICOTLAN",,,,"74791","21","PUEBLA","198","Xicotlán","0033","Xicotlán","0037","800",,,,"Fijo","18.05869361","-98.52947361","2010-07"
"6379589","21085212311000021002000000U7","GRUPO IZUCAL","GRUPO IZUCAL SA DE CV","212311","Minería de piedra caliza","31 a 50 personas","CARRETERA","CARRETERA ESTATAL LIBRE 603 IZUCAR DE MATAMOROS-TEPEXI DE RODRIGUEZ","CALLEJON","NINGUNO","OTRO (ESPECIFIQUE)","TERRENOS","OTRO (ESPECIFIQUE)","TERRENOS","0","SN",,,"0",,"COLONIA","SAN JOSÉ LAS BOCAS",,,,"74440","21","PUEBLA","085","Izúcar de Matamoros","0049","La Cabaña","0067","800",,,,"Fijo","18.61257944","-98.41306278","2010-07"
"6187683","21137212321000064000000000U5","INTEGRALES PARA LA CONSTRUCCION SA DE CV","INTEGRALES PARA LA CONSTRUCCION SA DE CV","212321","Minería de arena y grava para la construcción","31 a 50 personas","CARRETERA","TRAMO PUEBLA-PEROTE","OTRO (ESPECIFIQUE)","LAS DERRUMBADAS","OTRO (ESPECIFIQUE)","LAS DERRUMBADAS","OTRO (ESPECIFIQUE)","LAS DERRUMBADAS",,"KM 62+700",,,,,"PARAJE","EMILIO PORTES GIL",,,,,"21","PUEBLA","137","San Nicolás Buenos Aires","0030","La Cuchilla","0027","800",,"CONTABILIDAD@PLANTADIAMANTE.COM.",,"Fijo","19.321311","-97.484243","2014-12"
"6187714","21169212312000093001000000U6","MÁRMOLES TRES HERMANOS",,"212312","Minería de mármol","51 a 100 personas","OTRO (ESPECIFIQUE)","CAMINO A LAS CANTERAS","OTRO (ESPECIFIQUE)","DE TEPEXI","CARRETERA","CARRETERA A TEPEXI","CARRETERA","A IXCAQUIXTLA","0","DOMICILIO CONOCIDO",,,"0",,"COLONIA","MORELOS",,,,"72001","21","PUEBLA","169","Tepexi de Rodríguez","0044","Rancho Familia Ramos","004A","800",,"INFORMES@GRUPOOJEDA.COM",,"Fijo","18.58608361","-97.91221028","2014-12"
"6189152","19039212323000011201000000U4","MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC S DE RL DE CV","MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC S DE RL DE CV","212323","Minería de feldespato","51 a 100 personas","CALLE","ninguno","CALLE","ninguno","CALLE","ninguno","CALLE","ninguno","0","SN",,,"0",,"PUEBLO","ahuazotepec",,,,"73181","21","PUEBLA","008","Ahuazotepec","0003","La Estación de Ahuazotepec","0015","009",,,,"Fijo","20.05042208","-98.15215353","2010-07"
"6187669","21008212323000015000000000U6","MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R.L. DE C.V.","MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC S DE RL DE CV","212323","Minería de feldespato","51 a 100 personas","CALLE","Ninguno","CALLE","ninguno","CALLE","ninguno","CALLE","ninguno","0","SN",,,"0",,"COLONIA","LA ESTACION",,,,"73180","21","PUEBLA","008","Ahuazotepec","0003","La Estación de Ahuazotepec","0015","009",,,"WWW.GRUPOGMP.COM.MX","Fijo","20.05078388","-98.15319061","2010-07"
"6187840","21153212311000023001000000U9","OXICAL DE TECALI SA DE CV",,"212311","Minería de piedra caliza","51 a 100 personas","CARRETERA","FEDERAL LIBRE 529 TEPEACA -TECALI","CARRETERA","A SAN LUIS","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","0","DOMICILIO CONOCIDO",,,"0",,"COLONIA","SAN LUIS AJAJALPAN PUEBLA",,,,"75240","21","PUEBLA","153","Tecali de Herrera","0004","Guadalupe","0016","800",,,,"Fijo","18.92893027","-97.95089501","2010-07"
"6187682","21067212321000023101000000U0","POLIGRAVAS, S.A. DE C.V.","POLIGRAVAS SA DE CV","212321","Minería de arena y grava para la construcción","31 a 50 personas","CARRETERA","CARRETERA FEDERAL LIBRE SAN HIPOLITO - XALAPA","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","NINGUNO","0","KILOMETRO 62 800",,,"0",,"PARAJE","NINGUNO",,,,"75043","21","PUEBLA","170","Tepeyahualco","0020","Techachalco","006A","007",,"ASISTENTE@POLIGRAVAS.COM","WWW.POLIGRAVAS.COM","Fijo","19.38144115","-97.43483895","2014-12"
